Brawler,Map,Adjusted Win Rate
FANG,Firm Grip,0.724940781
TARA,Dune Drift,0.709681697
8-BIT,SUPER CITY,0.704733385
COLT,SUPER CITY,0.695355678
EDGAR,SUPER CITY,0.675067539
8-BIT,Last Stand,0.673826934
MAX,Dune Drift,0.672670956
GROM,Super Stadium,0.6722487
GROM,Center Stage,0.667454355
FANG,Binary Coding,0.667012608
PAM,SUPER CITY,0.666065298
GROM,Sneaky Fields,0.663078176
GROM,Field Goal,0.662917552
NITA,SUPER CITY,0.66184873
GROM,Center Field,0.66100715
MEG,NO SURRENDER,0.660983155
GROM,Pinhole Punt,0.658522683
GROM,Firm Grip,0.658344336
GROM,Pinball Dreams,0.657837194
FANG,Center Stage,0.65718362
GROM,Power Shot,0.6563773
GROM,Triple Dribble,0.656356046
GROM,Belle's Rock,0.656163957
GROM,Sticky Notes,0.655446582
GROM,Slalom Slam,0.654237704
GROM,Luis' Revenge,0.651263188
GROM,Flaring Phoenix,0.649673032
FANG,Power Shot,0.649462012
LOLA,NO SURRENDER,0.646408693
LOLA,Firm Grip,0.644238691
GROM,Binary Coding,0.643885899
GROM,DUELIST'S DESTINY,0.643685555
MEG,Firm Grip,0.643493717
ROSA,Center Stage,0.643095584
FANG,Deathcap Trap,0.641954911
PAM,NO SURRENDER,0.640108154
SHELLY,Dune Drift,0.63997666
FANG,Pinball Dreams,0.639938263
ASH,Power Shot,0.639869802
FANG,Mystic Touch,0.63934667
BEA,Super Stadium,0.638565488
COLT,Last Stand,0.638495166
GROM,Ends Meet,0.638448806
GROM,MONKEY MAZE,0.638070667
GROM,DANGER CHAMBER,0.637270401
PAM,Last Stand,0.636391878
FANG,Triple Dribble,0.636387159
COLT,Danger Zone,0.635974667
MEG,Pinhole Punt,0.635271943
JACKY,Power Shot,0.634559789
GROM,Dry Season,0.634328176
GROM,Goldarm Gulch,0.633655023
GROM,TIGER TRAP,0.632612206
SANDY,Pinhole Punt,0.631443668
ASH,Super Stadium,0.631192367
GROM,Backyard Bowl,0.630599241
GROM,WARRIOR'S WAY,0.630429085
ROSA,SHROUDING SERPENT,0.630354566
MEG,Super Stadium,0.630336372
DARRYL,Firm Grip,0.629771326
